dealer_id,name,region,capacity,rating,established_year,contact_email,contact_phone
DLR031,AutoElite South 31,North,177,4.0,1994,contact@autoelitesouth31.com,+1-924-746-1964
DLR032,MotorHub North 32,North,59,5.0,2011,contact@motorhubnorth32.com,+1-272-626-4899
DLR033,VehiclePro West 33,South,154,4.5,1998,contact@vehicleprowest33.com,+1-940-684-8744
DLR034,MotorHub West 34,West,81,4.7,2002,contact@motorhubwest34.com,+1-296-199-8062
DLR035,CarZone West 35,West,279,3.2,2019,contact@carzonewest35.com,+1-946-155-2612
DLR036,AutoMax West 36,East,145,3.2,1996,contact@automaxwest36.com,+1-454-296-4116
DLR037,CarMaster West 37,South,59,3.7,2017,contact@carmasterwest37.com,+1-387-385-8579
DLR038,MotorHub North 38,West,65,4.8,1996,contact@motorhubnorth38.com,+1-251-767-9856
DLR039,Capital North 39,North,67,3.3,2005,contact@capitalnorth39.com,+1-370-516-8956
DLR040,RideRight South 40,West,233,3.0,1993,contact@riderightsouth40.com,+1-368-488-1035
DLR041,AutoPlanet East 41,West,480,3.4,2008,contact@autoplaneteast41.com,+1-633-813-8973
DLR042,DriveTime South 42,East,416,4.3,2003,contact@drivetimesouth42.com,+1-259-693-9883
DLR043,AutoMax East 43,North,178,3.6,1993,contact@automaxeast43.com,+1-798-588-9238
DLR044,Metro Central 44,South,123,4.9,1993,contact@metrocentral44.com,+1-720-182-4044
DLR045,CarWorld Central 45,North,121,4.6,2005,contact@carworldcentral45.com,+1-613-222-5033
DLR046,AutoElite Central 46,North,136,3.7,1995,contact@autoelitecentral46.com,+1-629-773-9565
DLR047,CarZone East 47,South,66,3.1,2010,contact@carzoneeast47.com,+1-444-371-7484
DLR048,DriveTime East 48,West,360,4.2,2010,contact@drivetimeeast48.com,+1-969-174-1152
DLR049,RideRight Central 49,Central,482,4.3,1996,contact@riderightcentral49.com,+1-275-650-4492
DLR050,CarMaster East 50,South,203,3.2,2012,contact@carmastereast50.com,+1-270-350-7054
DLR051,VehiclePro South 51,West,158,4.7,2009,contact@vehicleprosouth51.com,+1-826-926-9666
DLR052,AutoMax Central 52,East,236,4.6,1996,contact@automaxcentral52.com,+1-337-370-2891
DLR053,Metro North 53,Central,67,4.9,1999,contact@metronorth53.com,+1-478-388-4450
DLR054,Signature East 54,South,131,4.3,2006,contact@signatureeast54.com,+1-717-600-5114
DLR055,Metro North 55,North,384,3.4,2017,contact@metronorth55.com,+1-483-145-1058
DLR056,CarZone South 56,East,180,4.5,2000,contact@carzonesouth56.com,+1-959-552-8007
DLR057,CarMaster North 57,North,404,3.3,1994,contact@carmasternorth57.com,+1-907-252-9938
DLR058,AutoMax East 58,Central,345,3.8,1999,contact@automaxeast58.com,+1-640-230-1685
DLR059,VehiclePro East 59,North,69,4.8,2012,contact@vehicleproeast59.com,+1-415-798-5088
DLR060,Premier North 60,East,182,5.0,2016,contact@premiernorth60.com,+1-835-867-3532
DLR061,Metro South 61,South,184,4.3,2001,contact@metrosouth61.com,+1-622-125-3938
DLR062,Signature East 62,West,405,4.3,2005,contact@signatureeast62.com,+1-473-263-2771
DLR063,AutoPlanet North 63,West,342,4.5,2004,contact@autoplanetnorth63.com,+1-404-936-8541
DLR064,CarZone East 64,South,496,4.8,2004,contact@carzoneeast64.com,+1-224-775-4164
DLR065,AutoPlanet East 65,East,354,3.1,1994,contact@autoplaneteast65.com,+1-991-385-6753
DLR066,Premier Central 66,West,145,3.3,2011,contact@premiercentral66.com,+1-228-218-5279
DLR067,DriveTime Central 67,East,279,3.8,1992,contact@drivetimecentral67.com,+1-311-710-8119
DLR068,CarZone East 68,West,451,4.9,2022,contact@carzoneeast68.com,+1-318-494-4114
DLR069,VehiclePro North 69,West,320,3.0,1990,contact@vehiclepronorth69.com,+1-732-925-9821
DLR070,Premier South 70,East,411,3.1,2017,contact@premiersouth70.com,+1-271-780-6409
DLR071,AutoElite East 71,North,218,3.3,2009,contact@autoeliteeast71.com,+1-719-416-7691
DLR072,CarZone West 72,East,379,4.6,1998,contact@carzonewest72.com,+1-396-530-7211
DLR073,Premier South 73,Central,370,4.3,2009,contact@premiersouth73.com,+1-615-661-1006
DLR074,VehiclePro East 74,South,363,4.3,2017,contact@vehicleproeast74.com,+1-793-721-6279
DLR075,RideRight West 75,West,282,4.3,2003,contact@riderightwest75.com,+1-723-584-3780
DLR076,Premier North 76,East,55,4.7,2022,contact@premiernorth76.com,+1-879-748-6491
DLR077,CarWorld South 77,East,201,5.0,2004,contact@carworldsouth77.com,+1-403-250-1400
DLR078,AutoMax South 78,West,310,3.1,1994,contact@automaxsouth78.com,+1-666-524-4185
DLR079,Signature West 79,West,322,4.6,2015,contact@signaturewest79.com,+1-449-251-1090
DLR080,Metro North 80,West,245,3.9,2004,contact@metronorth80.com,+1-380-923-9486
DLR081,RideRight North 81,Central,418,4.7,2005,contact@riderightnorth81.com,+1-324-567-3184
DLR082,Premier West 82,Central,198,3.2,2010,contact@premierwest82.com,+1-973-553-9270
DLR083,AutoPlanet Central 83,West,209,3.2,2000,contact@autoplanetcentral83.com,+1-961-982-8777
DLR084,RideRight East 84,South,131,4.4,2007,contact@riderighteast84.com,+1-984-896-9540
DLR085,RideRight South 85,East,407,3.1,2018,contact@riderightsouth85.com,+1-279-830-5681
DLR086,MotorHub East 86,East,232,3.5,2010,contact@motorhubeast86.com,+1-753-182-3267
DLR087,DriveTime South 87,West,223,3.0,1999,contact@drivetimesouth87.com,+1-923-319-2052
DLR088,AutoPlanet West 88,East,474,3.5,2019,contact@autoplanetwest88.com,+1-625-163-4388
DLR089,Capital West 89,West,51,4.2,1991,contact@capitalwest89.com,+1-983-689-7232
DLR090,RideRight North 90,East,139,3.6,2009,contact@riderightnorth90.com,+1-971-499-7865
DLR091,CarMaster Central 91,Central,383,4.8,2004,contact@carmastercentral91.com,+1-699-324-5471
DLR092,AutoPlanet West 92,North,382,4.3,2014,contact@autoplanetwest92.com,+1-544-784-7624
DLR093,Signature South 93,West,384,4.7,1998,contact@signaturesouth93.com,+1-837-646-1441
DLR094,Metro West 94,Central,452,4.0,1991,contact@metrowest94.com,+1-285-758-8022
DLR095,DriveTime West 95,South,420,4.2,1993,contact@drivetimewest95.com,+1-466-488-6363
DLR096,MotorHub West 96,East,318,4.5,2011,contact@motorhubwest96.com,+1-979-488-5558
DLR097,Premier West 97,East,463,4.7,1995,contact@premierwest97.com,+1-681-119-9837
DLR098,AutoMax East 98,South,444,3.8,1994,contact@automaxeast98.com,+1-999-767-1659
DLR099,Premier North 99,South,71,3.5,2002,contact@premiernorth99.com,+1-220-736-3496
DLR100,MotorHub South 100,West,218,4.3,1997,contact@motorhubsouth100.com,+1-777-323-8619
